Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2015-01-01,129.9112091064453,130.17552085754684,128.41971404770027,128.47634795885904,1849323
2015-01-02,131.85581970214844,133.10187810915028,129.93008521638163,129.93008521638163,3736468
2015-01-05,133.34730529785156,135.17863827756995,130.64751083410323,131.02509902609896,6074619
2015-01-06,125.79546356201172,131.76144505404366,124.8325918025895,131.6104097358763,9024997
2015-01-07,127.64566040039062,128.96723659772576,123.88860103055005,125.73880943530746,8937670
2015-01-08,129.0616912841797,129.83576050195418,126.68284968958301,129.49592228453542,6578931
2015-01-09,132.53550720214844,134.76331260022766,127.02263194834813,131.06288699848125,13223764
2015-01-12,131.28944396972656,133.06413473150465,130.06226051001136,132.93197451835653,3157549
2015-01-13,128.3631134033203,131.62930007030093,127.74008832252109,131.40274706681814,7395021
2015-01-14,129.9112091064453,130.64751909103143,128.00435836781475,128.38195522611434,6704722
2015-01-15,130.83636474609375,133.29072368591298,129.38262793618895,131.7803529425367,10737987
2015-01-16,131.06289672851562,132.91311398796873,129.64691898234565,130.26995264763735,4284924
2015-01-19,131.2139434814453,133.29070512500684,130.57203470853048,131.8180934231559,3049690
2015-01-20,132.2711944580078,132.72430038593248,131.13841235331296,132.72430038593248,4842070
2015-01-21,130.66644287109375,132.34674130634158,129.9301326121349,132.21458106032355,8863149
2015-01-22,133.2529296875,133.98923976788595,130.5531347018595,131.02512435431345,8061763
2015-01-23,131.70477294921875,134.42344245784673,131.23277475311673,134.0458542718926,6424399
2015-01-27,132.25233459472656,132.76208317687244,130.66643763341037,132.15793318814863,4689873
2015-01-28,133.63055419921875,134.61230117586786,131.6104263156943,132.1579337342451,7037476
2015-01-29,132.8753204345703,134.234655258695,131.213906403729,132.9130792551049,10551229
2015-01-30,132.6676788330078,134.2158081826118,131.4216201301783,132.87535672388648,6162442
2015-02-02,132.1012725830078,135.1031468246101,131.6292742878717,134.04588239722554,3717522
2015-02-03,135.72616577148438,136.31144052024993,132.91309442951606,133.13964737858856,7617916
2015-02-04,139.16229248046875,141.1446613438442,136.72680900554758,138.2560718998197,12396304
2015-02-05,134.66888427734375,139.14337791366046,133.6871463136801,138.99233399103227,3953791
2015-02-06,132.53550720214844,136.4058432068674,131.28944860651401,135.93385354066507,5834608
2015-02-09,134.55563354492188,135.12202459636464,131.81807967709574,131.81807967709574,4045851
2015-02-10,133.9136962890625,135.59398535030547,132.53547778155323,134.04585647754087,3438390
2015-02-11,130.2510986328125,134.57455916112528,129.89238534092138,134.045926772432,3754929
2015-02-12,130.81744384765625,132.38446536427548,128.13653265058244,130.64753345306153,6518277
2015-02-13,128.21206665039062,129.85459738548138,127.72119321078038,128.21206665039062,9134797
2015-02-16,128.5518798828125,130.15666022703007,127.24918742972179,127.43798155862451,5713141
2015-02-18,125.58776092529297,129.8545683196392,125.3611993502545,128.89170539243685,7747543
2015-02-19,125.90872192382812,126.85270116891358,124.83257383071113,126.11639977763036,5393952
